"","N","P","SLA"
"intercept",0.477420807076445,0.333728133143081,0.300489083754519
"temp",0.0999518354420952,0.0666709401771156,0.0676523415634263
"moisture",0.0685382906699592,0.0488408257843722,0.0476120307754533
"deficit",0.122802565927695,0.0833187564529137,0.0841670865065599
"soilEntVert",0.156380746359059,0.112151454321041,0.111157712317315
"soilMol",0.137473338937001,0.0977055698723123,0.0896236300095683
"soilOthers",0.114461726193273,0.0819122385010341,0.075471001016488
"soilSpodHist",0.245199958961378,0.167804145819831,0.161026113451043
"soilUltKan",0.0935548341273239,0.0674350180773624,0.0655031329577065
"u1",0.047263623164864,0.0350106982002118,0.0307064408313756
"u2",0.0469952953014058,0.0338326042770451,0.0328644823536052
"u3",0.0479783144804638,0.0347011860000908,0.0333477746782061
"I(moisture^2)",0.0524717855138832,0.0378885712217777,0.0363128742814821
"moisture:deficit",0.0507586512120563,0.0364613660306313,0.0355752553247224
"moisture:soilEntVert",0.0522276319670167,0.0371661914978086,0.036824450184433
"moisture:soilMol",0.00908253376416307,0.00653497961206491,0.00626545498851579
"moisture:soilOthers",0.05647057950489,0.0411691638780829,0.0394909987837397
"moisture:soilSpodHist",0.0574300543179465,0.0410391985150324,0.0401599531241118
"moisture:soilUltKan",0.01297555151777,0.00931924684783578,0.00913529331859255
"temp:soilEntVert",0.047490260976965,0.034100555106915,0.0339613330080435
"temp:soilMol",0.00348699150934069,0.00244616767424956,0.00242402992172665
"temp:soilOthers",0.0309014044167037,0.0223445115826831,0.0215619531661621
"temp:soilSpodHist",0.103500898660102,0.0704620717665913,0.0698598667978653
"temp:soilUltKan",0.0183634838738178,0.0132112401363682,0.0128877372884495
"deficit:soilEntVert",0.0247485502450422,0.017924794346787,0.0171225726524247
"deficit:soilMol",0.0325007213338013,0.023015769417765,0.0209917871822115
"deficit:soilOthers",0.0696421989370665,0.0494638147607684,0.0480536133476061
"deficit:soilSpodHist",0.0852296183400091,0.0591090389855922,0.0568863010236321
"deficit:soilUltKan",0.0186531264723896,0.0132824098820924,0.0131160685930712
