lon lat
p-1 -113 49
p-2 -112.5 48
p-3 -112 47.8
p-4 -111 47.7
p-5 -110 47.7
p-6 -108 47.9
p-7 -106 47.8
p-8 -104 47.3
p-9 -102 47.2
p-10 -101 46
p-11 -100.5 44.5
p-12 -100 44.2
p-13 -99 44
p-14 -98 43
p-15 -97.6 41.5
p-16 -97.5 40
p-17 -97 39.6
p-18 -96 39
p-19 -95 38.8
p-20 -93.5 39
p-21 -92 39.1
p-22 -90.9 38.9
p-23 -90.7 38.7
p-24 -90.2 37.6
p-25 -89.5 37
p-26 -89.2 36.6
p-27 -88.5 36.6
p-28 -88 36.7
p-29 -87 37.5
p-30 -86 37.9
p-31 -85 38.2
p-32 -84 37.9
p-33 -83.5 38.1
p-34 -83 38
p-35 -82.4 38
p-36 -82 38.3
p-37 -81.7 39
p-38 -81.6 40
p-39 -81.4 40.2
p-40 -80.5 40.1
p-41 -80 41
p-42 -79 41.3
p-43 -78.5 41.4
p-44 -78 41.3
p-45 -77.2 40.8
p-46 -76.5 40.8
p-47 -76 40.7
p-48 -75.5 40.5
p-49 -75 40.2
p-50 -74.5 40.3
p-51 -74 40.3
z-1 -60 40
z-2 -60 75
