"plotLon","plotLat","temp","prec","therm","deficit","moisture","soil","elev"
"100167733010478_ereg_231",-79.6795,36.8161,10.398,1162.603,678.405,2207.157,0.013,"UltKan",361.003967285156
"100167820010478_ereg_231",-79.7822,36.5985,11.19,1122.618,727.017,2364.619,0.637,"UltKan",235.974014282227
"100167914010478_ereg_231",-80.0601,36.6837,11.607,1172.951,1051.525,1907.053,0,"UltKan",289.128692626953
"100167991010478_ereg_M221",-79.6898,38.4191,4.225,1349.627,1477.002,756.941,0.343,"AlfInc",1119.85083007812
"100168129010478_ereg_M221",-79.6065,38.2183,7.655,1114.587,571.012,1935.361,0.335,"AlfInc",661.631591796875
"100168444010478_ereg_M221",-79.4364,38.2803,5.53,1083.917,516.127,1989.237,0.293,"AlfInc",701.077270507812
"100168544010478_ereg_M221",-79.3812,38.3677,3.852,1050.141,863.056,1417.014,-0.726,"AlfInc",818.421630859375
"100168618010478_ereg_M221",-79.5514,38.413,6.747,1104.036,1439.351,1057.439,0.333,"AlfInc",1039.53344726562
"100169332010478_ereg_232",-76.8879,37.4002,9.188,1148.095,919.491,1954.225,-0.219,"Others",4.26797962188721
"100169425010478_ereg_232",-76.8061,37.3712,9.78,1157.682,671.601,2272.233,0.687,"Others",32.1444511413574
"100169531010478_ereg_232",-76.7643,37.4229,9.17,1158.981,627.942,2227.804,-0.007,"Others",10.9588432312012
"100169653010478_ereg_232",-77.1752,37.921,8.615,1103.805,618.463,2312.509,0.237,"Others",35.554615020752
"100170144010478_ereg_232",-76.7467,37.522,9.235,1144.542,953.233,2099.762,-0.017,"Others",12.1984252929688
"100172123010478_ereg_221",-82.8814,36.7338,8.293,1301.01,1019.986,1593.366,0.261,"AlfInc",581.859313964844
"100172274010478_ereg_221",-83.047,36.7365,8.797,1243.768,1131.322,1654.871,-0.361,"Others",527.282531738281
"100172515010478_ereg_M221",-77.7852,39.2013,4.817,1081.708,499.696,2017.29,0.117,"Others",326.937957763672
"100172804010478_ereg_221",-77.5318,39.0477,7.08,1052.64,399.929,2681.584,-0.167,"AlfInc",82.1695785522461
"100173569010478_ereg_231",-77.9455,37.9962,10.895,1108.56,926.785,2092.028,-0.728,"Others",120.559661865234
"100173814010478_ereg_231",-77.858,37.8125,10.745,1107.947,938.574,2066.561,-0.048,"UltKan",86.3121643066406
"100173986010478_ereg_231",-78.0327,38.1324,10.415,1093.982,913.656,2016.105,0.373,"UltKan",108.068481445312
"100174145010478_ereg_231",-78.2595,37.0667,10.34,1084.644,912.97,1989.162,0.624,"UltKan",181.82551574707
"100174990010478_ereg_M221",-78.2773,38.4216,8.095,1129.318,605.58,2304.586,-0.455,"UltKan",205.035354614258
"100175161010478_ereg_M221",-78.3242,38.5384,8.285,1272.127,1728.943,731.756,-0.714,"AlfInc",795.424560546875
"100175589010478_ereg_231",-78.5678,36.7925,11.707,1101.209,967.164,2102.94,-0.143,"AlfInc",153.905059814453
"100175689010478_ereg_231",-78.5262,36.8454,11.88,1098.568,967.814,2078.195,-1,"UltKan",157.368911743164
"100175773010478_ereg_231",-78.428,36.6864,11.05,1086.136,1332.453,1569.803,0.483,"UltKan",124.647605895996
"100176177010478_ereg_231",-78.3768,36.8479,10.72,1096.863,918.949,1920.741,0,"AlfInc",134.375411987305
"100177083010478_ereg_M221",-80.3644,37.0977,9.947,1022.33,1237.492,1477.331,0.36,"Others",629.203918457031
"100177472010478_ereg_M221",-79.038,37.7925,9.575,1138.411,1144.22,1403.944,-1,"UltKan",362.599487304688
"100177563010478_ereg_M221",-78.9836,37.8538,6.607,1121.525,713.715,1628.251,-0.995,"AlfInc",985.151550292969
"100178034010478_ereg_M221",-78.8355,37.872,11.562,1160.969,1278.766,1561.171,0.433,"UltKan",234.874633789062
"100178118010478_ereg_221",-78.7448,37.7185,10.957,1172.733,929.897,1985.028,0.855,"Others",174.384201049805
"100178377010478_ereg_M221",-78.7854,37.9456,9.188,1136.028,651.748,2253.529,-0.992,"UltKan",305.855804443359
"100178751010478_ereg_232",-77.0863,37.5559,10.15,1129.13,465.689,2459.207,0.175,"Others",46.5029067993164
"100178895010478_ereg_232",-76.8758,37.5268,9.262,1147.612,657.679,2325.336,-0.293,"Others",6.70870637893677
"100179261010478_ereg_232",-76.6116,37.9917,10.672,1118.599,1295.512,1571.625,-0.425,"Others",19.9413070678711
