"SM","WD","MH","N","P","SLA","leaf"
"acerBarb","-0.244889386216001","1.12774670657784","-0.793047173146228","0.539532828771064","0.310081433249128","0.92279163224492","Deciduous"
"acerNegu","-0.147936726580979","0.105872104233293","-0.753684096938735","1.75374331236169","0.393837348470016","1.35861891447646","Deciduous"
"acerRubr","-0.365093555163055","-0.475810361716679","-0.438779487278795","-0.518005334356259","-0.410219437650509","0.0947197960049887","Deciduous"
"acerSacc","0.0358119936601014","0.546064240627867","0.847081002165962","0.40244454836567","0.527846812823437","0.58865738253407","Deciduous"
"betuNigr","-1.32969307104817","0.844766047467042","-0.766805122341233","0.813709389581851","0.393837348470016","-0.195831725482706","Deciduous"
"carpCaro","-0.293116261351935","0.868347769059608","-2.10514971339598","0.34369242819193","-0.276209973297088","1.73633589241047","Deciduous"
"caryAqua","1.42686833394721","1.75659261571294","0.650265621128499","0.363276468249843","0.00856013845393135","0.152830100302528","Deciduous"
"caryGlab","1.35906463172022","1.75659261571294","0.519055367103524","-0.224244733487558","-0.896003745931659","0.152830100302528","Deciduous"
"caryOvat","1.43618726537254","1.75659261571294","0.781475875153474","0.754957269408112","0.661856277176858","-0.0796111168876283","Deciduous"
"caryTome","1.51322284924695","1.75659261571294","0.781475875153474","0.187020107728623","-0.896003745931659","0.152830100302528","Deciduous"
"cercCana","-0.221039274236357","0.341689320158958","-2.10514971339598","0.637453029060631","-0.359965888517976","0.762988295426687","Deciduous"
"faguGran","0.482885339648576","0.380992189479902","0.125424605028598","0.461196668539411","-0.343214705473798","2.28838378323709","Deciduous"
"fraxAmer","-0.105259849985963","0.247362433788692","0.440329214688539","0.34369242819193","1.63342489373916","-0.0215008125900893","Deciduous"
"fraxPenn","-0.226313454072722","0.0272663655914051","0.0466984526136132","-0.420085134066692","0.494344446735082","-0.428272942672862","Deciduous"
"juniVirg","-0.601918345183594","-0.900281350382875","-1.16043588441616","-0.478837254240432","-0.393468254606331","-1.61953418077241","NLEver"
"liquStyr","-0.816615212381766","-0.6015795435437","0.847081002165962","-0.400501094008779","-0.560980085048107","0.210940404600067","Deciduous"
"liriTuli","-0.218952498446679","-1.41121865155515","1.64746355171831","0.617868989002718","-0.896003745931659","0.385271317492684","Deciduous"
"magnGran","0.0548036778839823","-0.444368066259923","0.781475875153474","-1.06635845597783","-0.560980085048107","-1.12559659424333","BLEver"
"nyssSylv","0.262004570267234","-0.428646918531546","0.650265621128499","-0.243828773545471","-0.644736000268995","0.908264056170535","Deciduous"
"ostrVirg","-0.476249846108148","1.22207359294811","-1.35725126545362","0.363276468249843","0.561349178911792","3.72661381460118","Deciduous"
"oxydArbo","-2.22032824783217","-0.106363390099805","-1.58030869729608","0.265356267960277","-0.594482451136462","1.59106013166662","Deciduous"
"persBorb","0.373612287206152","-1.2304254526788","-1.84272920534603","-0.478837254240432","0","-0.747879616309327","BLEver"
"pinuEchi","-0.436307511811451","-0.177108554877504","1.34567996746087","-1.14469461620949","-1.23102740681521","-1.11252177577638","NLEver"
"pinuElli","-0.23059304444705","-0.750930446963287","0.847081002165962","-1.69304773783106","-1.12717007194131","-1.11252177577638","NLEver"
"pinuPalu","0.183667215777845","0.247362433788692","1.64746355171831","-2.08472853898933","-1.12717007194131","-1.48588048088807","NLEver"
"pinuStro","-0.442307905570123","-1.83568964022134","2.84147686334558","-0.890102095456614","-0.896003745931659","-0.991942894358991","NLEver"
"pinuTaed","-0.735340412696886","-0.106363390099805","2.61841943150313","-1.61471157759941","-1.01661226384974","-1.11252177577638","NLEver"
"pinuVirg","-0.690338568997064","-1.2304254526788","1.34567996746087","-1.37970309690445","-1.12717007194131","-1.11252177577638","NLEver"
"platOcci","-0.968940171281312","-0.530834378766","0.519055367103524","1.81249543253543","0","0.327161013195145","Deciduous"
"prunSero","0.140012528621725","-0.570137248086944","0.0466984526136132","0.950797669987246","2.99027072031754","-0.26846960585463","Deciduous"
