Color,ID,Soil
#FFFFFF,255,NODATA
#00FF00,70,Albolls
#ADFF2F,80,Aqualfs
#FF00FF,20,Aquands
#7FFFD4,95,Aquents
#CF595C,90,Aquepts
#FFFF00,40,Aquerts
#D8BFD8,15,Aquods
#03FF05,71,Aquolls
#FF0000,30,Aquox
#FFA500,60,Aquults
#7DFFD2,96,Arents
#FFDDC2,54,Argids
#09FE03,69,Borolls
#E7CDC0,55,Calcids
#F3E3C8,56,Cambids
#A5FF2F,81,Cryalfs
#FA02FA,21,Cryands
#E05C5D,92,Cryepts
#FFDAB9,50,Cryids
#D4C3D4,16,Cryods
#0FEA03,74,Cryolls
#F5D3B9,52,Durids
#B22328,11,Fibrists
#73FFD2,98,Fluvents
#A52A2A,10,Folists
#EB05EB,27,Gelands
#CB5A5F,86,Gelepts
#DDB9DD,19,Gelods
#E8C8B8,53,Gypsids
#B41919,12,Hemists
#48D1CC,5,Histels
#D2BAD2,17,Humods
#F3A702,61,Humults
#CA5960,89,Ochrepts
#4EC8CC,7,Orthels
#88EEC8,99,Orthents
#D5C0D5,18,Orthods
#FB0202,33,Perox
#86F5CD,97,Psamments
#05F300,72,Rendolls
#F5D7BB,51,Salids
#A42828,13,Saprists
#FC05FA,22,Torrands
#EBEB0C,45,Torrerts
#F50505,31,Torrox
#43D4D2,6,Turbels
#8CFF19,84,Udalfs
#F100F1,26,Udands
#CD5C5C,85,Udepts
#EEFF06,45,Uderts
#0CFF0C,76,Udolls
#FF0E0E,34,Udox
#FB9C00,62,Udults
#8CFF37,82,Ustalfs
#F50CF0,25,Ustands
#D35740,93,Ustepts
#F5EB00,44,Usterts
#00F000,75,Ustolls
#F20A0A,32,Ustox
#F0B005,63,Ustults
#FC04F5,24,Vitrands
#AFFF19,83,Xeralfs
#AFFF08,23,Xerands
#D95F35,94,Xerepts
#FAFA05,66,Xererts
#02F00A,73,Xerolls
#F7980F,64,Xerults
