"SM","WD","MH","N","P","SLA","leaf"
"acerBarb",-1.52287875605747,0.749999944487653,18.0000000096692,21.5999998288781,1.72000018143474,205.00000000365,"Deciduous"
"acerNegu",-1.39794001897681,0.619999949482505,18.3000000097756,27.799999821715,1.77000018466072,235.000000005373,"Deciduous"
"acerRubr",-1.67778071662885,0.545999952325728,20.700000010626,16.199999835117,1.29000015369135,148.000000000375,"Deciduous"
"acerSacc",-1.16115091867228,0.675999947330876,30.5000000140987,20.8999998296869,1.85000018982228,182.000000002328,"Deciduous"
"betuNigr",-2.92081877001475,0.713999945870843,18.2000000097401,22.9999998272606,1.77000018466072,127.999999999226,"Deciduous"
"carpCaro",-1.58502666304128,0.716999945755577,8.00000000612564,20.5999998300335,1.37000015885291,261.000000006867,"Deciduous"
"caryAqua",0.631443766380976,0.829999941413898,29.0000000135672,20.6999998299179,1.54000016982123,152.000000000604,"Deciduous"
"caryGlab",0.544068041387732,0.829999941413898,28.0000000132128,17.699999833384,1.00000013498069,152.000000000604,"Deciduous"
"caryOvat",0.643452673899398,0.829999941413898,30.0000000139216,22.6999998276073,1.93000019498385,135.999999999685,"Deciduous"
"caryTome",0.742725129093226,0.829999941413898,30.0000000139216,19.7999998309578,1.00000013498069,152.000000000604,"Deciduous"
"cercCana",-1.4921441389651,0.649999948329847,8.00000000612564,22.0999998283005,1.32000015562694,194.000000003018,"Deciduous"
"faguGran",-0.585026659260537,0.654999948137737,25.0000000121498,21.1999998293403,1.33000015627213,299.000000009051,"Deciduous"
"fraxAmer",-1.34294415723974,0.63799994879091,27.4000000130002,20.5999998300335,2.51000023240517,139.999999999915,"Deciduous"
"fraxPenn",-1.49894074846888,0.609999949866724,24.4000000119371,16.6999998345393,1.83000018853189,111.999999998306,"Deciduous"
"juniVirg",-1.98296667321782,0.491999954400512,15.200000008677,16.3999998348859,1.30000015433655,29.9999999935949,"NLEver"
"liquStyr",-2.25963732406838,0.529999952940479,30.5000000140987,16.7999998344238,1.20000014788459,156.000000000834,"Deciduous"
"liriTuli",-1.48945500044415,0.426999956897938,36.6000000162603,21.999999828416,1.00000013498069,168.000000001524,"Deciduous"
"magnGran",-1.13667714919655,0.54999995217204,30.0000000139216,13.399999838352,1.20000014788459,63.9999999955483,"BLEver"
"nyssSylv",-0.869666239812497,0.551999952095196,29.0000000135672,17.5999998334995,1.15000014465862,204.000000003592,"Deciduous"
"ostrVirg",-1.82102306461117,0.761999944026591,13.7000000081455,20.6999998299179,1.87000019111267,398.000000014739,"Deciduous"
"oxydArbo",-4.06854214971262,0.592999950519897,12.0000000075431,20.1999998304956,1.1800001465942,251.000000006293,"Deciduous"
"persBorb",-0.725842158500062,0.449999956014234,10.0000000068344,16.3999998348859,1.53489,89.9999999970422,"BLEver"
"pinuEchi",-1.76955109033146,0.583999950865694,34.3000000154453,12.9999998388141,0.800000122076785,64.8999999956003,"NLEver"
"pinuElli",-1.50445567316103,0.510999953670496,30.5000000140987,10.1999998420491,0.862000126076995,64.8999999956003,"NLEver"
"pinuPalu",-0.970616231003959,0.63799994879091,36.6000000162603,8.19999984435978,0.862000126076995,39.1999999941235,"NLEver"
"pinuStro",-1.77728354059138,0.372999958972723,45.700000019485,14.2999998373122,1.00000013498069,73.1999999960769,"NLEver"
"pinuTaed",-2.15490197315239,0.592999950519897,44.0000000188826,10.5999998415869,0.928000130335282,64.8999999956003,"NLEver"
"pinuVirg",-2.09691002595545,0.449999956014234,34.3000000154453,11.7999998402005,0.862000126076995,64.8999999956003,"NLEver"
"platOcci",-2.45593196995449,0.538999952594681,28.0000000132128,28.0999998213684,1.53489,164.000000001294,"Deciduous"
"prunSero",-1.02687215530216,0.533999952786791,24.4000000119371,23.6999998264519,3.32000028466598,122.999999998938,"Deciduous"
"querAlba",0.549003259081911,0.70999994602453,30.5000000140987,20.499999830149,1.37000015885291,162.000000001179,"Deciduous"
"querCocc",0.285557305067869,0.708999946062952,26.3000000126104,12.7999998390452,0.600000109172881,117.999999998651,"Deciduous"
"querFalc",-0.0861861529616512,0.739999944871872,26.3000000126104,16.6999998345393,1.24000015046537,127.999999999226,"Deciduous"
"querLaur",0.376576953460737,0.67399994740772,26.3000000126104,13.1999998385831,1.24000015046537,127.999999999226,"Deciduous"
"querMacr",0.78175537258856,0.670999947522986,30.5000000140987,22.3999998279539,1.93000019498385,106.999999998019,"Deciduous"
"querMari",0.376576953460737,0.749999944487653,26.3000000126104,13.7999998378898,1.24000015046537,127.999999999226,"Deciduous"
"querMich",0.727541254759686,0.732999945140826,24.4000000119371,15.8999998354636,1.24000015046537,127.999999999226,"Deciduous"
"querNigr",0.0569048465320945,0.739999944871872,26.3000000126104,12.8999998389297,1.24000015046537,127.999999999226,"Deciduous"
"querPhel",-0.00833099767107037,0.739999944871872,30.5000000140987,16.6999998345393,1.24000015046537,127.999999999226,"Deciduous"
"querPrin",0.255272501048907,0.755999944257121,26.3000000126104,20.6999998299179,1.1800001465942,204.000000003592,"Deciduous"
"querRubr",0.559906622133457,0.656999948060893,24.7000000120434,19.3999998314199,1.14000014401342,153.000000000662,"Deciduous"
"querStel",-0.0861861529616512,0.737999944948716,26.3000000126104,17.2999998338461,1.24000015046537,127.999999999226,"Deciduous"
"querVelu",0.267171724393595,0.66899994759983,26.3000000126104,16.6999998345393,1.24000015046537,127.999999999226,"Deciduous"
"querVirg",0.110589705697838,0.976999935765874,15.200000008677,14.2999998373122,1.24000015046537,62.8999999954853,"BLEver"
"sassAlbi",-1.04239272190044,0.472999955130529,22.9000000114056,18.999999831882,1.53489,89.9999999970422,"Deciduous"
"tiliAmer",-1.02181949194534,0.39999995793533,30.5000000140987,26.3999998233325,2.83000025305141,186.000000002558,"Deciduous"
"tsugCana",-2.61978877321265,0.430999956744251,32.0000000146302,11.9999998399695,0.948000131625673,74.2999999961401,"NLEver"
"ulmuAlat",-2.39794002275755,0.579999951019382,25.9000000124687,22.1999998281849,2.32000022014646,123.999999998996,"Deciduous"
"ulmuAmer",-2.3010300093831,0.553999952018352,25.9000000124687,19.2999998315354,1.95000019627424,111.999999998306,"Deciduous"
"other",-1.2073003,0.6065312,24.0440945,18.845038,1.53489,141.48,"Deciduous"
"abieBals",-2.11918642075082,0.413999957397424,18.3000000097756,11.899999840085,0.948000131625673,38.4999999940833,"NLEver"
"betuAlle",-3.00000001636174,0.659999947945627,23.000000011441,20.3999998302646,2.07000020401658,223.000000004684,"Deciduous"
"betuLent",-3.0969100297362,0.667999947638252,21.0000000107323,23.299999826914,1.77000018466072,193.00000000296,"Deciduous"
"betuPapy",-3.46852110109085,0.599999950250943,21.3000000108386,20.1999998304956,1.55000017046643,228.000000004971,"Deciduous"
"betuPopu",-3.95860733482776,0.521999953247854,7.70000000601935,20.5999998300335,1.70000018014435,193.00000000296,"Deciduous"
"magnAcum",-1.05061000234669,0.515999953478386,30.0000000139216,18.1999998328063,1.20000014788459,160.000000001064,"Deciduous"
"piceGlau",-2.61978877321265,0.430999956744251,30.5000000140987,11.899999840085,1.15000014465862,47.4999999946002,"NLEver"
"piceMari",-2.95078199350548,0.427999956859516,19.8000000103071,11.899999840085,0.950000131754713,98.3999999975248,"NLEver"
"piceRube",-2.75448734761938,0.412999957435845,25.2000000122206,10.2999998419335,0.904000128786817,68.9999999958353,"NLEver"
"pinuBank",-2.45593196995449,0.460999955591592,24.4000000119371,13.9999998376588,0.862000126076995,81.9999999965825,"NLEver"
"pinuResi",-2.06048076019105,0.506999953824183,24.4000000119371,11.7999998402005,0.862000126076995,33.9999999938248,"NLEver"
"pinuRigi",-1.56863624679114,0.541999952479416,34.3000000154453,11.899999840085,0.70000011562483,48.8999999946807,"NLEver"
"popuGran",-3.52287876361894,0.409999957551111,19.8000000103071,23.0999998271451,2.00000019950021,148.000000000375,"Deciduous"
"popuTrem",-3.52287876361894,0.400999957896908,19.8000000103071,23.499999826683,1.77000018466072,169.000000001581,"Deciduous"
"magnFras",-1.00000000880026,0.569999951403601,30.0000000139216,22.8999998273762,1.20000014788459,257.000000006638,"Deciduous"
