"","lon","lat","phys","slope","aspect"
"UNDERC_1",-84.71344444,45.56081667,3,NA,NA
"CW_118",-83.43413,35.05109,1,80,300
"CW_218",-83.43419,35.04843,2,40,330
"CW_318",-83.43417,35.04723,1,50,330
"CW_427",-83.45997,35.03855,1,55,80
"CW_527",-83.46194,35.03108,1,60,30
"CW_LG",-83.45773,35.04256,2,35,90
"CW_UG",-83.46126,35.0384,2,35,40
"CW_Ball",NA,NA,NA,NA,NA
"CW_Dorm",NA,NA,NA,NA,NA
"CW_Reyn",NA,NA,NA,NA,50
"DF_BW",-79.09305,35.98465,2,25,340
"DF_HW",-79.0964,35.97656,3,4,90
"DF_EW",-79.07078,36.03435,1,20,180
"DF_Warm",-79.07735,36.03612,2,20,0
"DF_EE",-79.06521,36.03479,2,5,80
"MH_F",-82.55631,35.82592,2,25,280
"MH_P",-82.55068,35.8221,1,35,110
"GSNP_CD",-83.49502,35.56566,1,NA,NA
"GSNP_ND",-83.47686,35.56429,2,NA,NA
"GSNP_PK",-83.08096,35.58728,2,NA,NA
"WH_P1",-83.36175,33.88877,2,6.3,0
"WH_P2",-83.36205,33.88794,2,3.4,225
"OS_LPB",-81.99490256,29.68808442,2,0,0
"OS_swa",-82.00682506,29.70337073,3,0,0
"OS_LPNB",-81.99600274,29.67849478,2,0,0
"OS_xer",-81.99305908,29.6981184,1,0,0
"TT_WT",-84.208487,30.65634,2,0,0
"SYV_1",-83.34656,46.24085,2,0,0
"SYV_2",-83.34626,46.24045,2,0,0
"SYV_3",-83.34582,46.24008,2,0,0
"SYV_4",-83.34749,46.24021,2,0,0
"SYV_5",-83.34751,46.23975,2,0,0
"SYV_6",-83.3475,46.23931,2,0,0
"SYV_7",-83.34852,46.24082,2,0,0
"SYV_8",-83.34884,46.24043,2,0,0
"SYV_9",-83.34913,46.24001,2,0,0
"SYV_10",-83.34977,46.24102,2,0,0
"SYV_11",-83.35039,46.24081,2,0,0
"SYV_12",-83.35088,46.24058,2,0,0
"SYV_13",-83.34958,46.24192,2,0,0
"SYV_14",-83.35017,46.24193,2,0,0
"SYV_15",-83.35085,46.24194,2,0,0
"SYV_16",-83.34993,46.24285,2,0,0
"SYV_17",-83.35043,46.24305,2,0,0
"UMB_60m",-84.71381944,45.55983889,2,NA,NA
"UMB_A1",-84.71344444,45.56081667,2,NA,NA
"UMB_A2",-84.71330556,45.56170833,2,NA,NA
"UMB_A3",-84.71315556,45.5626,2,NA,NA
"UMB_A4",-84.71300556,45.56349444,2,NA,NA
"UMB_A5",-84.71285556,45.56438889,2,NA,NA
"UMB_B1",-84.71387778,45.5608,2,NA,NA
"UMB_B2",-84.71415,45.56167778,2,NA,NA
"UMB_B3",-84.71442222,45.56255833,2,NA,NA
"UMB_B4",-84.71469444,45.56343889,2,NA,NA
"UMB_B5",-84.71496667,45.56431667,2,NA,NA
"UMB_C1",-84.71428056,45.56068611,2,NA,NA
"UMB_C2",-84.71487222,45.56145,2,NA,NA
"UMB_C3",-84.71563056,45.56221389,2,NA,NA
"UMB_C4",-84.71630556,45.56298056,2,NA,NA
"UMB_C5",-84.71697778,45.56374583,2,NA,NA
"UMB_C6",-84.71765278,45.56451111,2,NA,NA
"UMB_C7",-84.71832778,45.565275,2,NA,NA
"UMB_C8",-84.71900278,45.56603889,2,NA,NA
"UMB_C9",-84.719675,45.56680556,2,NA,NA
"UMB_C10",-84.72035,45.56756944,2,NA,NA
"UMB_D1",-84.71461389,45.56047778,2,NA,NA
"UMB_D2",-84.71561944,45.56103333,2,NA,NA
"UMB_D3",-84.716625,45.56159028,2,NA,NA
"UMB_D4",-84.71763056,45.56214722,2,NA,NA
"UMB_D5",-84.71863611,45.56270417,2,NA,NA
"UMB_D6",-84.71964167,45.56326111,2,NA,NA
"UMB_D7",-84.72064722,45.56381806,2,NA,NA
"UMB_D8",-84.72165278,45.564375,2,NA,NA
"UMB_D9",-84.72265833,45.56493194,2,NA,NA
"UMB_D10",-84.72366389,45.56548889,2,NA,NA
"UMB_E1",-84.71483333,45.56017778,2,NA,NA
"UMB_E2",-84.71605972,45.5604375,2,NA,NA
"UMB_E3",-84.71728611,45.56069722,2,NA,NA
"UMB_E4",-84.7185125,45.56095694,2,NA,NA
"UMB_E5",-84.71973889,45.56121667,2,NA,NA
"UMB_E6",-84.72096528,45.56147639,2,NA,NA
