"temp","prec","therm","deficit","moisture"
"100167733010478_ereg_231",10.398,1162.603,678.405,2207.157,0.013
"100167820010478_ereg_231",11.19,1122.618,727.017,2364.619,0.637
"100167914010478_ereg_231",11.607,1172.951,1051.525,1907.053,0
"100167991010478_ereg_M221",4.225,1349.627,1477.002,756.941,0.343
"100168129010478_ereg_M221",7.655,1114.587,571.012,1935.361,0.335
"100168444010478_ereg_M221",5.53,1083.917,516.127,1989.237,0.293
"100168544010478_ereg_M221",3.852,1050.141,863.056,1417.014,-0.726
"100168618010478_ereg_M221",6.747,1104.036,1439.351,1057.439,0.333
"100169332010478_ereg_232",9.188,1148.095,919.491,1954.225,-0.219
"100169425010478_ereg_232",9.78,1157.682,671.601,2272.233,0.687
"100169531010478_ereg_232",9.17,1158.981,627.942,2227.804,-0.007
"100169653010478_ereg_232",8.615,1103.805,618.463,2312.509,0.237
"100170144010478_ereg_232",9.235,1144.542,953.233,2099.762,-0.017
"100172123010478_ereg_221",8.293,1301.01,1019.986,1593.366,0.261
"100172274010478_ereg_221",8.797,1243.768,1131.322,1654.871,-0.361
"100172515010478_ereg_M221",4.817,1081.708,499.696,2017.29,0.117
"100172804010478_ereg_221",7.08,1052.64,399.929,2681.584,-0.167
"100173569010478_ereg_231",10.895,1108.56,926.785,2092.028,-0.728
"100173814010478_ereg_231",10.745,1107.947,938.574,2066.561,-0.048
"100173986010478_ereg_231",10.415,1093.982,913.656,2016.105,0.373
"100174145010478_ereg_231",10.34,1084.644,912.97,1989.162,0.624
"100174990010478_ereg_M221",8.095,1129.318,605.58,2304.586,-0.455
"100175161010478_ereg_M221",8.285,1272.127,1728.943,731.756,-0.714
"100175589010478_ereg_231",11.707,1101.209,967.164,2102.94,-0.143
"100175689010478_ereg_231",11.88,1098.568,967.814,2078.195,-1
"100175773010478_ereg_231",11.05,1086.136,1332.453,1569.803,0.483
"100176177010478_ereg_231",10.72,1096.863,918.949,1920.741,0
"100177083010478_ereg_M221",9.947,1022.33,1237.492,1477.331,0.36
"100177472010478_ereg_M221",9.575,1138.411,1144.22,1403.944,-1
"100177563010478_ereg_M221",6.607,1121.525,713.715,1628.251,-0.995
"100178034010478_ereg_M221",11.562,1160.969,1278.766,1561.171,0.433
"100178118010478_ereg_221",10.957,1172.733,929.897,1985.028,0.855
"100178377010478_ereg_M221",9.188,1136.028,651.748,2253.529,-0.992
"100178751010478_ereg_232",10.15,1129.13,465.689,2459.207,0.175
"100178895010478_ereg_232",9.262,1147.612,657.679,2325.336,-0.293
"100179261010478_ereg_232",10.672,1118.599,1295.512,1571.625,-0.425
"100179835010478_ereg_232",9.023,1133.449,637.663,2409.649,-0.647
"100180733010661_ereg_212",-8.318,835.202,649.478,827.026,0.949
"100180926010661_ereg_212",-7.53,812.498,132.211,2143.372,0
"100180968010661_ereg_212",-7.895,805.429,129.155,2118.959,-1
"100181092010661_ereg_212",-8.32,803.295,139.579,1907.703,-1
"100181130010661_ereg_212",-7.728,801.192,125.778,1878.827,1
"100181343010661_ereg_212",-6.245,820.013,139.733,1850.499,0.915
"100181394010478_ereg_231",8.047,1086.793,635.517,2267.809,-0.062
"100181800010478_ereg_M221",7.183,1077.524,941.058,1574.404,0.054
"100181813010661_ereg_212",-5.71,781.462,118.033,1720.571,1
"100181925010478_ereg_M221",7.348,1152.164,407.805,2425.767,0.442
"100182086010478_ereg_M221",7.29,1049.919,640.502,2055.547,0.477
"100182277010661_ereg_212",-7.87,754.842,125.518,1836.581,0.136
"100182542010478_ereg_231",10.35,1205.03,1243.29,1584.935,0.51
"100182567010661_ereg_212",-6.593,820.179,456.813,1197.43,0.512
"100182629010478_ereg_M221",7.368,1229.147,1031.021,1478.039,-0.713
"100182656010661_ereg_212",-7.308,801.724,135.79,1872.144,-0.883
"100182723010661_ereg_212",-7.6,798.209,195.058,1828.969,1
"100182955010661_ereg_212",-5.775,829.949,388.317,1514.985,-0.725
"100182963010478_ereg_231",11.372,1258.227,1324.139,1538.932,0.019
"100183032010478_ereg_231",11.828,1251.592,1328.072,1567.79,0.461
"100183155010661_ereg_222",-5.33,815.392,119.015,2310.348,0.15
"100183258010661_ereg_222",-4.975,812.409,110.359,2461.256,-0.06
"100183525010661_ereg_222",-6.357,801.472,121.781,2287.171,0.378
"100183652010478_ereg_231",10.752,1121.336,743.003,2581.827,0.831
"100183793010661_ereg_222",-5.713,809.6,120.547,2202.038,-0.424
"100183916010661_ereg_222",-5.265,808.16,117.804,2184.744,-0.055
"100184051010478_ereg_231",10.545,1096.644,723.001,2447.884,-0.413
"100184114010661_ereg_222",-0.613,986.052,720.287,1603.061,-0.088
"100184159010661_ereg_222",-2.062,967.319,176.793,2366.344,0.528
"100184178010478_ereg_231",11.565,1098.425,780.678,2684.41,-1
"100184535010661_ereg_222",-2.957,851.368,192.263,2485.746,0.15
"100184980010478_ereg_231",9.78,1090.003,677.433,2230.236,-0.416
"100185301010661_ereg_212",-5.455,829.525,108.071,2146.242,0
"100185387010661_ereg_212",-4.62,819.683,101.824,2122.084,-0.816
"100185482010661_ereg_212",-6.38,819.211,94.244,2217.582,1
"100185715010661_ereg_212",-6.977,842.883,80.989,2135.715,0
"100186311010661_ereg_212",-5.982,845.135,345.463,1753.684,-0.109
"100186408010661_ereg_212",-4.25,855.565,387.621,1856.123,0.477
"100186496010478_ereg_232",11.31,1148.386,547.746,2562.442,0.334
"100186718010661_ereg_212",-5.953,851.939,165.666,1767.256,-0.04
"100186828010478_ereg_221",7.652,1031.906,679.397,2249.436,0.19
"100186982010661_ereg_212",-7.022,854.593,163.749,1638.55,-1
"100187153010478_ereg_M221",7.805,1000.83,750.521,1805.675,0
"100187171010661_ereg_212",-6.947,759.449,501.976,1589.35,0.672
"100187285010478_ereg_M221",5.89,1143.272,597.851,1956.599,0.585
"100187391010478_ereg_M221",4.15,1299.214,1142.523,1189.206,-0.748
"100187567010661_ereg_212",-6.672,792.556,198.704,1804.717,0.995
"100187663010661_ereg_212",-8.37,810.825,165.13,1905.672,0.957
"100187768010478_ereg_M221",5.367,1267.602,690.758,1571.096,-0.144
"100188040010478_ereg_M221",8.585,1133.403,1369.584,1167.177,0
"100188181010661_ereg_212",-9.205,770.746,157.395,1878.957,0.259
"100188196010478_ereg_M221",10.207,1068.063,1521.671,1222.554,-0.289
"100188300010661_ereg_212",-7.885,792.966,135.692,1884.255,0.584
"100188332010478_ereg_M221",9.89,1064.891,1226.396,1536.673,1
"100188427010478_ereg_M221",9.482,1192.593,1415.937,1121.261,0.086
"100188608010478_ereg_M221",7.875,1128.001,1345.381,1164.103,-0.301
"100188630010661_ereg_212",-7.45,779.87,209.054,1825.859,0.672
"100188711010661_ereg_212",-4.688,813.556,202.142,1873.9,1
"100188743010478_ereg_M221",5.848,950.652,568.877,1961.591,-0.774
"100188849010478_ereg_M221",4.53,1079.485,789.157,1582.334,-0.577
"100188916010478_ereg_M221",6.365,920.54,368.668,2311.8,0.266
"100188976010478_ereg_M221",7.235,925.357,411.406,2666.727,-0.267
"100189113010478_ereg_M221",6.48,1211.523,599.745,2087.468,0.823
"100189203010478_ereg_M221",7.915,947.444,803.513,1805.21,-0.002
"100189204010661_ereg_212",-8.46,798.129,312.137,1494.188,0.984
"100189246010661_ereg_212",-7.19,835.745,138.827,1687.836,0
"100189360010661_ereg_212",-4.378,827.125,141.238,1724.604,-0.125
"100189454010478_ereg_M221",6.08,998.183,583.816,1912.895,-0.363
"100189504010661_ereg_212",-7.31,883.916,395.594,1491.802,-1
"100189513010478_ereg_M221",4.633,1063.951,1255.397,1033.424,0.399
"100189622010478_ereg_M221",7.482,1189.006,667.3,2009.048,-0.714
"100189644010661_ereg_212",-7.345,851.987,540.128,1184.782,0
"100189794010661_ereg_212",-4.91,808.237,194.506,1832.03,0.141
"100189946010661_ereg_212",-4.852,830.827,210.171,1771.749,0
"100190012010478_ereg_M221",8.135,1148.008,696.08,2095.908,0
"100190054010661_ereg_212",-3.07,788.531,142.606,1750.875,-1
"100190156010661_ereg_212",-4.828,755.493,138.349,1639.16,-0.907
"100190326010478_ereg_M221",7.27,1217.2,951.535,1459.511,-0.846
"100190399010661_ereg_212",-9.065,824.339,338.828,1809.887,-1
"100190442010478_ereg_M221",8.685,1165.105,716.807,2033.042,-0.065
"100190452010661_ereg_212",-6.913,805.268,135.062,1813.857,-0.12
"100190596010478_ereg_M221",9.605,1165.978,805.253,2230.266,-0.038
"100190664010661_ereg_212",-5.265,824.246,140.921,1867.611,1
"100190701010478_ereg_M221",8.508,1162.236,729.691,2049.694,0.133
"100190754010661_ereg_212",-7.5,816.058,145.658,1763.434,-0.515
"100190909010478_ereg_M221",7.922,1055.637,1330.824,1140.892,0.812
"100190982010661_ereg_212",-5.607,865.623,372.662,1872.928,0
"100191055010478_ereg_M221",7.018,959.464,418.53,2578.038,-0.099
"100191116010478_ereg_M221",6.527,991.71,408.531,2464.504,0.261
"100191143010661_ereg_212",-8.365,872.729,121.149,2199.907,-0.984
"100191165010478_ereg_M221",3.435,1039.528,458.515,1871.342,-0.551
"100191228010478_ereg_M221",4.573,1100.303,649.246,1752.686,-0.63
"100191300010478_ereg_M221",8.367,1099.765,1251.793,1319.137,-0.213
"100191372010478_ereg_M221",5.315,1270.323,1317.445,883.669,1
"100191525010478_ereg_M221",8.035,1099.993,1470.292,955.101,-0.737
"100191655010478_ereg_M221",7.383,1118.087,680.552,2125.447,0.387
"100191832010478_ereg_232",11.255,1178.785,1363.177,1648.272,0
"100192068010478_ereg_232",11.473,1191.38,1367.355,1647.172,0.711
"100192274010661_ereg_212",-6.893,776.833,154.065,1846.746,1
"100192484010478_ereg_231",8.625,1142.285,626.932,2286.474,0.077
"100192538010661_ereg_212",-5.922,782.044,200.252,1880.133,1
"100193070010661_ereg_212",-4.93,779.497,138.585,1861.765,-0.043
"100193152010478_ereg_232",8.223,1091.377,738.279,2274.528,0.197
"100193180010661_ereg_212",-6.768,754.885,142.327,1973.307,0
"100193427010478_ereg_231",8.247,1107.287,616.346,2381.929,0.189
"100193464010661_ereg_212",-5.973,765.607,241.899,1961.07,1
"100193557010478_ereg_231",8.485,1049.017,569.283,2323.295,-0.387
"100193666010478_ereg_231",7.925,1030.94,677.341,2238.829,0.288
"100194115010478_ereg_232",8.273,1032.738,727.357,2261.035,0.093
"100194430010661_ereg_212",-6.613,794.14,253.149,1904.019,0.659
"100194986010661_ereg_212",-5.305,784.132,100.451,2157.043,-0.698
"100195201010661_ereg_212",-4.235,792.576,105.522,2178.128,0.463
"100195308010661_ereg_212",-6.135,794.948,104.571,2412.434,-0.125
"100195360010478_ereg_232",11.23,1173.481,954.383,2043.809,-0.318
"100195419010661_ereg_212",-4.665,774.153,107.957,2214.031,0.223
"100195577010478_ereg_232",11.387,1165.767,940.543,2020.309,0.608
"100195934010661_ereg_212",-6.22,780.234,237.849,1965.588,0.243
"100196153010661_ereg_212",-6.525,818.56,95.397,2113.195,0
"100196336010478_ereg_231",11.793,1100.936,957.109,2162.464,-0.611
"100196443010661_ereg_212",-0.248,871.098,242.552,2222.401,-0.611
"100196769010661_ereg_222",-6.505,873.102,102.444,2199.28,-1
"100196865010478_ereg_231",11.482,1104.092,965.684,2049.323,0.001
"100197127010478_ereg_231",12.205,1113.194,982.093,2089.251,-0.163
"100197194010661_ereg_212",-5.02,764.212,262.533,1953.39,0.248
"100197272010478_ereg_231",12.085,1101.991,987.59,2207.333,0.535
"100197706010478_ereg_231",10.68,1122.997,933.119,1984.884,0.582
"100197821010478_ereg_231",10.285,1125.377,909.008,1989.609,-0.514
"100198032010661_ereg_212",-4.518,728.454,250.652,1916.057,0.375
"100198130010478_ereg_232",10.795,1110.771,952.358,2196.722,-0.701
"100198267010661_ereg_212",-7.49,777.438,250.263,2032.535,-0.702
"100198346010478_ereg_231",10.4,1107.273,918.954,2070.8,-0.097
"100198851010661_ereg_222",-1.105,845.187,762.194,766.928,-1
"100198939010478_ereg_232",7.42,1133.004,565.16,2249.777,1
"100198952010661_ereg_222",-0.815,856.269,684.438,1609.049,0
"100199196010661_ereg_222",0.363,854.988,202.294,2293.983,0.336
"100199338010661_ereg_212",-1.285,894.045,217.72,2116.034,-0.685
"100199439010661_ereg_212",-2.565,891.097,170.58,2128.882,1
"100199562010661_ereg_212",-4.742,897.532,102.403,2221.687,0
"100199705010661_ereg_212",-4.305,884.71,111.992,2263.667,-0.243
"100199749010478_ereg_231",11.95,1127.357,950.194,2038.339,-0.007
