"plotLon","plotLat"
"100167733010478_ereg_231",-79.6795,36.8161
"100167820010478_ereg_231",-79.7822,36.5985
"100167914010478_ereg_231",-80.0601,36.6837
"100167991010478_ereg_M221",-79.6898,38.4191
"100168129010478_ereg_M221",-79.6065,38.2183
"100168444010478_ereg_M221",-79.4364,38.2803
"100168544010478_ereg_M221",-79.3812,38.3677
"100168618010478_ereg_M221",-79.5514,38.413
"100169332010478_ereg_232",-76.8879,37.4002
"100169425010478_ereg_232",-76.8061,37.3712
"100169531010478_ereg_232",-76.7643,37.4229
"100169653010478_ereg_232",-77.1752,37.921
"100170144010478_ereg_232",-76.7467,37.522
"100172123010478_ereg_221",-82.8814,36.7338
"100172274010478_ereg_221",-83.047,36.7365
"100172515010478_ereg_M221",-77.7852,39.2013
"100172804010478_ereg_221",-77.5318,39.0477
"100173569010478_ereg_231",-77.9455,37.9962
"100173814010478_ereg_231",-77.858,37.8125
"100173986010478_ereg_231",-78.0327,38.1324
"100174145010478_ereg_231",-78.2595,37.0667
"100174990010478_ereg_M221",-78.2773,38.4216
"100175161010478_ereg_M221",-78.3242,38.5384
"100175589010478_ereg_231",-78.5678,36.7925
"100175689010478_ereg_231",-78.5262,36.8454
"100175773010478_ereg_231",-78.428,36.6864
"100176177010478_ereg_231",-78.3768,36.8479
"100177083010478_ereg_M221",-80.3644,37.0977
"100177472010478_ereg_M221",-79.038,37.7925
"100177563010478_ereg_M221",-78.9836,37.8538
"100178034010478_ereg_M221",-78.8355,37.872
"100178118010478_ereg_221",-78.7448,37.7185
"100178377010478_ereg_M221",-78.7854,37.9456
"100178751010478_ereg_232",-77.0863,37.5559
"100178895010478_ereg_232",-76.8758,37.5268
"100179261010478_ereg_232",-76.6116,37.9917
"100179835010478_ereg_232",-76.4438,37.872
"100180733010661_ereg_212",-86.3519,46.5046
"100180926010661_ereg_212",-86.0475,46.4379
"100180968010661_ereg_212",-86.0304,46.4146
"100181092010661_ereg_212",-86.0491,46.3804
"100181130010661_ereg_212",-85.8726,46.373
"100181343010661_ereg_212",-86.3116,46.2927
"100181394010478_ereg_231",-77.7919,38.2877
"100181800010478_ereg_M221",-78.5299,38.4624
"100181813010661_ereg_212",-86.3938,46.0328
