"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100167733010478_ereg_231",0.527,0.131,0.248,0.246,-0.147,0.403,1,0,0
"100167820010478_ereg_231",-0.319,-0.771,1.019,-1.131,-0.993,-0.773,0.264,0,0.736
"100167914010478_ereg_231",0.138,-0.343,0.419,0.1,-0.448,0.985,0.994,0.006,0
"100167991010478_ereg_M221",0.265,0.436,0.621,0.168,0.487,0.465,1,0,0
"100168129010478_ereg_M221",0.574,0.544,0.104,0.219,-0.364,0.378,0.991,0,0.009
"100168444010478_ereg_M221",-0.031,-1.211,2.063,-0.698,-0.799,-0.736,0.256,0,0.744
"100168544010478_ereg_M221",0.318,-0.299,1.205,-0.428,-0.735,-0.196,0.509,0,0.491
"100168618010478_ereg_M221",0.078,-0.091,-0.243,-0.214,-0.321,0.208,1,0,0
"100169332010478_ereg_232",0.604,0.294,0.622,0.26,-0.528,0.995,0.926,0,0.074
"100169425010478_ereg_232",0.085,-0.77,1.2,0.509,-0.695,0.68,0.938,0,0.062
"100169531010478_ereg_232",0.091,0.071,1.067,-0.632,-0.633,-0.229,0.653,0,0.347
"100169653010478_ereg_232",0.027,-0.448,0.321,0.235,-0.455,0.878,1,0,0
"100170144010478_ereg_232",0.268,0.039,1.109,-0.295,-0.538,-0.148,0.741,0,0.259
"100172123010478_ereg_221",0.338,-0.259,0.401,0.147,-0.538,0.301,1,0,0
"100172274010478_ereg_221",0.621,0.243,0.16,-0.331,-0.709,0.129,1,0,0
"100172515010478_ereg_M221",1.202,0.785,0.312,-0.612,-1.071,0.037,0.983,0,0.017
"100172804010478_ereg_221",0.79,0.702,0.07,0.035,-0.247,-0.396,0.794,0,0.206
"100173569010478_ereg_231",0.926,0.251,0.758,0.37,-0.527,0.43,1,0,0
"100173814010478_ereg_231",1.012,0.624,0.925,-0.141,-0.501,-0.018,0.837,0,0.163
"100173986010478_ereg_231",-0.165,-0.747,0.659,0.42,-0.567,0.273,1,0,0
"100174145010478_ereg_231",0.844,0.324,0.343,0.196,-0.455,0.233,0.966,0,0.034
"100174990010478_ereg_M221",0.991,0.905,0.386,0.206,-0.493,0.517,0.903,0,0.097
"100175161010478_ereg_M221",1.208,0.993,0.217,0.403,-0.53,0.781,0.992,0,0.008
"100175589010478_ereg_231",1.19,0.775,0.577,0.125,-0.529,0.022,0.869,0,0.131
"100175689010478_ereg_231",1.216,0.712,0.611,0.307,-0.571,0.201,0.99,0,0.01
"100175773010478_ereg_231",-0.095,-0.297,0.932,-0.31,-0.771,-0.297,0.598,0,0.402
"100176177010478_ereg_231",0.862,0.95,0.172,-0.041,-0.278,-0.222,0.905,0,0.095
"100177083010478_ereg_M221",0.164,-0.343,0.683,0.084,-0.251,0.297,1,0,0
"100177472010478_ereg_M221",1.208,1.093,0.328,0.433,-0.544,0.911,0.979,0,0.021
"100177563010478_ereg_M221",1.32,0.648,0.118,0.21,-0.55,0.265,1,0,0
"100178034010478_ereg_M221",0.158,-0.556,0.623,0.166,-0.569,0.302,0.976,0,0.024
"100178118010478_ereg_221",0.36,-0.015,0.55,-0.452,-0.609,-0.362,0.632,0,0.368
"100178377010478_ereg_M221",1.007,0.806,0.144,0.274,-0.48,0.654,1,0,0
"100178751010478_ereg_232",-0.201,-0.035,1.679,-0.853,-0.706,-0.193,0.409,0,0.591
"100178895010478_ereg_232",0.854,0.408,0.262,0.04,-0.265,-0.026,0.935,0,0.065
"100179261010478_ereg_232",-0.086,-0.253,0.718,-0.411,-0.521,-0.11,0.765,0,0.235
"100179835010478_ereg_232",1.102,0.911,0.323,0.404,-0.534,0.672,1,0,0
"100180733010661_ereg_212",-0.059,-0.091,-0.047,-0.086,-0.057,-0.072,0.94,0,0.06
"100180926010661_ereg_212",-0.574,-1.786,2.287,-0.617,-0.609,-0.911,0.135,0,0.865
"100180968010661_ereg_212",-0.787,-1.04,0.01,-0.876,-1.005,-0.872,0.077,0,0.923
"100181092010661_ereg_212",-0.639,-0.764,-0.036,-0.64,-0.687,-0.603,0.338,0,0.662
"100181130010661_ereg_212",-0.181,-0.224,-0.107,-0.212,-0.14,-0.149,0.844,0,0.156
"100181343010661_ereg_212",-0.078,-0.091,-0.055,-0.09,-0.062,-0.029,0.952,0,0.048
"100181394010478_ereg_231",0.838,0.377,0.701,-0.337,-0.626,-0.192,0.776,0,0.224
"100181800010478_ereg_M221",1.316,0.979,0.538,0.251,-0.517,0.294,0.934,0,0.066
"100181813010661_ereg_212",-0.146,-0.227,-0.047,-0.265,-0.064,-0.305,0.843,0,0.157
"100181925010478_ereg_M221",0.326,-0.4,1.004,0.14,-0.562,0.164,0.783,0,0.217
"100182086010478_ereg_M221",0.997,0.715,0.227,-0.154,-0.756,0.461,1,0,0
"100182277010661_ereg_212",-1.071,-0.561,-0.364,0.035,-0.082,0.329,0.846,0,0.154
"100182542010478_ereg_231",-0.311,-1.278,1.34,0.078,-0.846,-0.027,0.72,0,0.28
"100182567010661_ereg_212",-0.126,-0.372,0.434,-0.21,-0.181,-0.211,0.785,0,0.215
"100182629010478_ereg_M221",0.335,-0.432,0.859,0.307,-0.314,0.232,1,0,0
"100182656010661_ereg_212",-0.628,-0.792,-0.031,-1.297,-1.014,-1.508,0.052,0,0.948
"100182723010661_ereg_212",-0.065,-0.096,-0.046,-0.091,-0.06,-0.076,0.934,0,0.066
"100182955010661_ereg_212",-0.002,-0.088,-0.162,-0.107,-0.227,0.779,1,0,0
"100182963010478_ereg_231",0.524,0.451,0.248,0.304,-0.613,0.691,1,0,0
"100183032010478_ereg_231",0.309,-0.311,0.64,0.511,-0.157,0.419,1,0,0
"100183155010661_ereg_222",0.074,0.093,-0.007,0.005,0.143,0.529,1,0,0
"100183258010661_ereg_222",-0.147,-0.084,0.034,0.021,0.301,-0.169,1,0,0
"100183525010661_ereg_222",-0.739,-0.366,-0.13,0.16,0.535,-0.03,1,0,0
