"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100167733010478_ereg_231",0.712,0.901,0.575,0.495,0.999,0.462,0,0,0
"100167820010478_ereg_231",0.867,0.828,0.821,0.559,0.296,0.681,0.442,0,0.442
"100167914010478_ereg_231",0.805,0.675,0.836,0.63,0.511,0.854,0.075,0.075,0
"100167991010478_ereg_M221",0.46,0.534,0.447,0.391,0.536,0.669,0,0,0
"100168129010478_ereg_M221",1.082,0.768,0.473,0.443,0.432,0.429,0.094,0,0.094
"100168444010478_ereg_M221",0.687,1.089,1.163,0.444,0.237,0.623,0.437,0,0.437
"100168544010478_ereg_M221",0.865,1.333,1.032,0.749,0.291,0.941,0.5,0,0.5
"100168618010478_ereg_M221",0.674,0.573,0.357,0.365,0.244,0.291,0,0,0
"100169332010478_ereg_232",0.763,0.85,0.749,0.609,0.207,0.941,0.262,0,0.262
"100169425010478_ereg_232",0.535,0.902,0.716,0.582,0.237,0.939,0.241,0,0.241
"100169531010478_ereg_232",0.921,0.614,1.162,0.861,0.362,0.704,0.477,0,0.477
"100169653010478_ereg_232",0.377,0.702,0.835,0.534,0.253,1.028,0,0,0
"100170144010478_ereg_232",0.868,0.8,0.982,0.874,0.326,0.631,0.438,0,0.438
"100172123010478_ereg_221",0.811,0.968,0.837,0.511,0.22,0.485,0,0,0
"100172274010478_ereg_221",0.95,0.773,0.663,0.666,0.501,0.667,0,0,0
"100172515010478_ereg_M221",0.289,0.404,0.147,0.724,0.459,0.636,0.131,0,0.131
"100172804010478_ereg_221",0.924,1.043,0.668,0.317,0.706,0.695,0.405,0,0.405
"100173569010478_ereg_231",0.675,1.043,0.511,0.343,0.219,0.399,0,0,0
"100173814010478_ereg_231",0.867,0.479,0.776,0.837,0.415,0.53,0.37,0,0.37
"100173986010478_ereg_231",0.416,0.888,1.238,0.504,0.36,0.219,0,0,0
"100174145010478_ereg_231",1.105,0.751,0.738,0.385,0.259,0.515,0.181,0,0.181
"100174990010478_ereg_M221",0.666,0.881,0.645,0.533,0.535,0.679,0.297,0,0.297
"100175161010478_ereg_M221",0.45,0.399,0.182,0.239,0.152,0.378,0.088,0,0.088
"100175589010478_ereg_231",0.746,0.643,0.431,0.524,0.359,0.489,0.337,0,0.337
"100175689010478_ereg_231",0.678,1.018,0.449,0.259,0.262,0.358,0.099,0,0.099
"100175773010478_ereg_231",0.523,0.855,0.702,0.772,0.393,0.753,0.491,0,0.491
"100176177010478_ereg_231",0.671,0.713,0.508,0.288,0.594,0.577,0.293,0,0.293
"100177083010478_ereg_M221",0.441,0.857,0.667,0.654,0.685,0.305,0,0,0
