"SM","WD","MH","N","P","SLA","leaf","shade","drought","flood","xylem","repro"
"acerBarb",-1.50695745140903,0.568927814189089,18.5447854480774,20.8993426750173,1.67285641808624,203.694035470583,"broaddeciduous",4,2,1,"diffuse","monoecious"
"acerNegu",-1.38750211308947,0.504429525556652,18.5447854480774,26.645217405141,1.7211123671277,233.97196392096,"broaddeciduous",3,3,3,"diffuse","dioecious"
"acerRubr",-1.65506096628986,0.594727129642064,21.3684391751623,15.8948711358774,1.25785525632972,146.165971414867,"broaddeciduous",3,2,3,"diffuse","dioecious"
"acerSacc",-1.2055238250494,0.685024733727475,29.839400356417,20.2506148829066,1.79832188559403,180.480956991961,"broaddeciduous",5,2,1,"diffuse","monoecious"
"carpCaro",-1.56637776754213,0.71082404918045,9.13260635779452,19.9725886862877,1.33506477479605,260.21283524462,"broaddeciduous",5,2,2,"diffuse","monoecious"
"caryGlab",0.469273737945288,0.814021310992349,27.9569645383604,17.2850021189718,0.977970751889278,150.203028541584,"broaddeciduous",3,4,1,"ring","monoecious"
"caryOvat",0.564296508127289,0.788221995539374,29.839400356417,21.9187720626199,1.87553140406035,134.054800034716,"broaddeciduous",3,3,1,"ring","monoecious"
"caryTome",0.728231834864359,0.788221995539374,29.839400356417,19.231185495304,0.977970751889278,150.203028541584,"broaddeciduous",3,3,2,"ring","monoecious"
"cercCana",-1.47757173670855,0.633426102821526,9.13260635779452,21.3627196693821,1.28680882575459,192.592128372112,"broaddeciduous",3,4,1,"diffuse","monoecious"
"faguGran",-0.610266464015304,0.685024733727475,25.1333108112755,20.5286410795255,1.29646001556289,298.564877948431,"broaddeciduous",5,2,2,"diffuse","monoecious"
"fraxAmer",-1.33491994823427,0.672125076000988,27.0157466293321,19.9725886862877,2.43530041294124,138.091857161433,"broaddeciduous",2,2,2,"ring","dioecious"
"fraxPenn",-1.4840700518562,0.646325760548013,24.1920929022472,16.3582481302422,1.77901950597744,109.832457274415,"broaddeciduous",3,4,3,"ring","dioecious"
"juniVirg",-1.94685270795903,0.530228841009627,15.7211317209926,16.0802219336233,1.26750644613801,27.0727861767177,"needleevergreen",1,5,1,"diffuse","dioecious"
"liquStyr",-2.21138064359126,0.556028156462602,29.839400356417,16.4509235291151,1.1709945480551,154.240085668301,"broaddeciduous",2,3,3,"diffuse","monoecious"
"liriTuli",-1.47500062098164,0.478630210103678,36.427925719615,21.2700442705092,0.977970751889278,166.351257048452,"broaddeciduous",2,3,1,"diffuse","monoecious"
"nyssSylv",-0.277105038598244,0.556028156462602,28.8981824473887,17.1923267200988,1.12273859901365,202.684771188904,"broaddeciduous",4,2,2,"diffuse","dioecious"
"ostrVirg",-1.79201659382168,0.775322337812887,14.7799138119643,20.0652640851607,1.81762426521061,398.482041834675,"broaddeciduous",5,3,1,"diffuse","monoecious"
"oxydArbo",-3.9408949878551,0.607626787368551,12.8974779939077,19.6018870907959,1.15169216843852,250.120192427828,"broaddeciduous",3,3,1,"diffuse","monoecious"
"persBorb",-0.744901754040966,0.633426102821526,11.0150421758511,16.0802219336233,1.53489,87.6286430774716,"broadevergreen",4,2,4,"diffuse","monoecious"
"pinuEchi",-1.74280365758407,0.568927814189089,33.7925155743358,12.9292583719426,0.784946955723455,62.2961096073229,"needleevergreen",2,4,1,"diffuse","monoecious"
"pinuElli",-1.48934293367253,0.659225418274501,29.839400356417,10.3343472034996,0.84478433253486,62.2961096073229,"needleevergreen",2,4,1,"diffuse","monoecious"
"pinuPalu",-0.978933010687427,0.659225418274501,36.427925719615,8.4808392260404,0.84478433253486,36.3580175681666,"needleevergreen",1,5,2,"diffuse","monoecious"
"pinuStro",-1.75019674065359,0.401232263744754,44.8988869008697,14.1340385572911,0.977970751889278,70.6730031452605,"needleevergreen",3,2,1,"diffuse","monoecious"
"pinuTaed",-2.11124199108023,0.568927814189089,43.0164510828131,10.7050487989915,0.908482185269582,62.2961096073229,"needleevergreen",2,4,1,"diffuse","monoecious"
"pinuVirg",-2.05579523506134,0.543128498736114,33.7925155743358,11.817153585467,0.84478433253486,62.2961096073229,"needleevergreen",2,4,2,"diffuse","monoecious"
"platOcci",-2.3990601726352,0.556028156462602,27.9569645383604,26.9232436017599,1.53489,162.314199921735,"broaddeciduous",3,2,3,"diffuse","monoecious"
"prunSero",-1.03271993559593,0.568927814189089,24.1920929022472,22.8455260513495,3.21704678741282,120.934364372886,"broaddeciduous",2,3,1,"diffuse","monoecious"
"querAlba",0.473992355350211,0.736623364633424,29.839400356417,19.8799132874147,1.33506477479605,160.295671358376,"broaddeciduous",3,4,1,"ring","monoecious"
"querCocc",0.222108701801289,0.736623364633424,26.2627723021095,12.7439075741967,0.591923159557632,115.88804296449,"broaddeciduous",2,4,1,"ring","monoecious"
"querFalc",-0.133319419089107,0.633426102821526,26.2627723021095,16.3582481302422,1.20959930728827,125.980685781282,"broaddeciduous",2,5,2,"ring","monoecious"
"querLaur",0.294936203670973,0.685024733727475,26.2627723021095,13.1146091696885,1.20959930728827,125.980685781282,"broaddeciduous",3,3,2,"ring","monoecious"
"querMacr",0.69652928115233,0.71082404918045,30.7806182654453,21.640745866001,1.87553140406035,104.786135866019,"broaddeciduous",3,4,2,"ring","monoecious"
"querMari",0.294936203670973,0.723723706906937,26.2627723021095,13.6706615629263,1.20959930728827,125.980685781282,"broaddeciduous",3,4,1,"ring","monoecious"
"querMich",0.644694550481374,0.736623364633424,24.1920929022472,15.6168449392585,1.20959930728827,125.980685781282,"broaddeciduous",3,4,2,"ring","monoecious"
"querNigr",0.00349150244256879,0.685024733727475,26.2627723021095,12.8365829730696,1.20959930728827,125.980685781282,"broaddeciduous",2,3,2,"ring","monoecious"
"querPhel",-0.0588812253593762,0.685024733727475,30.7806182654453,16.3582481302422,1.20959930728827,125.980685781282,"broaddeciduous",2,1,3,"ring","monoecious"
"querPrin",0.193153058463134,0.697924391453962,26.2627723021095,20.0652640851607,1.15169216843852,202.684771188904,"broaddeciduous",3,4,1,"ring","monoecious"
"querRubr",0.484417183970838,0.685024733727475,25.1333108112755,18.8604838998122,1.11308740920535,151.212292823263,"broaddeciduous",3,3,1,"ring","monoecious"
"querStel",-0.133319419089107,0.736623364633424,26.2627723021095,16.91430052348,1.20959930728827,125.980685781282,"broaddeciduous",2,4,2,"ring","monoecious"
"querVelu",0.204530040363175,0.685024733727475,26.2627723021095,16.3582481302422,1.20959930728827,125.980685781282,"broaddeciduous",3,3,1,"ring","monoecious"
"querVirg",0.0548202029251228,0.994616519163172,15.7211317209926,14.1340385572911,1.20959930728827,60.2775810439644,"broadevergreen",2,4,2,"ring","monoecious"
"sassAlbi",-1.04755932470159,0.504429525556652,23.2508749932189,18.4897823043203,1.53489,87.6286430774716,"broaddeciduous",2,5,1,"ring","monoecious"
"tiliAmer",-1.0740223123188,0.375432948291779,30.7806182654453,25.3477618209195,2.74413848680656,184.518014118678,"broaddeciduous",4,3,1,"diffuse","monoecious"
"tsugCana",-2.55572551379779,0.452830894650703,31.7218361744736,12.002504383213,0.927784564886164,71.7831938551076,"needleevergreen",5,1,1,"diffuse","monoecious"
"ulmuAlat",-2.3436134166163,0.736623364633424,26.0745287203038,21.4553950682551,2.25192780658371,121.943628654565,"broaddeciduous",3,4,2,"ring","monoecious"
"ulmuAmer",-2.19654928616605,0.556028156462602,26.0745287203038,18.7678085009392,1.89483378367694,109.832457274415,"broaddeciduous",3,3,2,"ring","monoecious"
"other",0.0124526111378953,0.6065312,24.0440945,18.845038,1.53489,141.48,"broaddeciduous",2.73972602739726,2.87671232876712,2.02054794520548,"diffuse","monoecious"
"abieBals",-2.0770939478465,0.388332606018266,18.5447854480774,11.90982898434,0.927784564886164,35.6515325709911,"needleevergreen",5,1,2,"diffuse","monoecious"
"betuAlle",-2.91924977972623,0.672125076000988,23.2508749932189,19.7872378885418,2.01064806137643,221.860792540809,"broaddeciduous",3,3,2,"diffuse","monoecious"
"betuLent",-3.01190653858817,0.736623364633424,21.3684391751623,22.4748244558577,1.7211123671277,191.582864090432,"broaddeciduous",3,3,1,"diffuse","monoecious"
